PublicAddress,ControlNbr,CCN,Precinct,ReportedDate,BeginDate,Time,Offense,Description,UCRCode,EnteredDate,GBSID,Lat,Long,X,Y,Neighborhood,LastChanged,LastUpdateDate,ESRI_OID,x2,y2
0021XX Broadway AV W,3363209,MP 2014 457317,04,1/1/2015 12:05:00 AM,12/31/2014 8:10:00 PM,20:10:00,AUTOTH,Motor Vehicle Theft,08,1/1/2015 12:05:21 AM,15215,45.0030963,-93.30702211,-10386890.1882,5622008.9491,JORDAN,1/1/2015 1:33:55 AM,3/3/2017 1:40:06 PM,1,-10386890.1882,5622008.9491
Girard AV N / Plymouth AV N,3363210,MP 2014 457574,04,1/1/2015 12:16:00 AM,12/31/2014 11:49:00 PM,23:49:00,AUTOTH,Motor Vehicle Theft,08,1/1/2015 12:13:17 AM,,44.99196,-93.29717,-10385793.49,5620255.548,NEAR - NORTH,2/20/2015 6:12:55 AM,3/3/2017 1:40:06 PM,2,-10385793.49,5620255.548
2 AV N / 4 ST N,3363218,MP 2015 999999,01,1/1/2015 1:13:52 AM,12/31/2014 7:30:00 PM,19:30:00,THEFT,Other Theft,07,1/1/2015 1:13:52 AM,,44.98205,-93.27369,-10383179.94,5618696.632,DOWNTOWN WEST,1/2/2015 7:04:14 AM,3/3/2017 1:40:06 PM,3,-10383179.94,5618696.632
0032XX Lyndale AV N,3363220,MP 2014 457244,04,1/1/2015 1:24:00 AM,12/31/2014 5:00:00 PM,17:00:00,BURGD,Burglary Of Dwelling,06,1/1/2015 1:24:32 AM,11106,45.01399955,-93.28802025,-10384774.9117,5623725.6974,MCKINLEY,1/5/2015 7:04:46 AM,3/3/2017 1:40:06 PM,4,-10384774.9117,5623725.69740001
0055XX 11 AV S,3363223,MP 2015 000138,03,1/1/2015 1:40:00 AM,12/31/2014 4:00:00 PM,16:00:00,BURGD,Burglary Of Dwelling,06,1/1/2015 1:29:11 AM,14453,44.90251102,-93.25890427,-10381533.7358,5606186.8759,DIAMOND LAKE,3/7/2015 2:29:54 PM,3/3/2017 1:40:06 PM,5,-10381533.7358,5606186.8759
0025XX Cedar AV S,3363228,MP 2015 000151,03,1/1/2015 1:47:00 AM,1/1/2015 1:05:00 AM,01:05:00,ASLT2,Asslt W/dngrs Weapon,05,1/1/2015 1:46:29 AM,16946,44.95779751,-93.24733141,-10380245.4502,5614880.0125,EAST PHILLIPS,1/1/2015 4:43:16 AM,3/3/2017 1:40:06 PM,6,-10380245.4502,5614880.0125
1 AV N / 3 ST N,3363235,MP 2015 000215,01,1/1/2015 2:50:00 AM,1/1/2015 1:40:00 AM,01:40:00,ROBPER,Robbery Of Person,04,1/1/2015 2:49:04 AM,,44.98207,-93.27139,-10382923.28,5618698.959,DOWNTOWN WEST,1/1/2015 4:44:36 PM,3/3/2017 1:40:06 PM,7,-10382923.28,5618698.95900001
0013XX Lagoon AV ,3363242,MP 2015 000295,05,1/1/2015 3:30:00 AM,1/1/2015 1:30:00 AM,01:30:00,THEFT,Other Theft,07,1/1/2015 3:19:32 AM,19775,44.94925537,-93.29636314,-10385703.6378,5613536.3167,LOWRY HILL EAST,1/5/2015 1:32:06 AM,3/3/2017 1:40:06 PM,8,-10385703.6378,5613536.31669999
0001XX 4 ST N,3363243,MP 2015 000325,01,1/1/2015 3:35:00 AM,1/1/2015 2:58:00 AM,02:58:00,ASLT4,Aslt-police/emerg P,05,1/1/2015 3:31:46 AM,17122,44.98164758,-93.27311624,-10383115.8047,5618632.7352,DOWNTOWN WEST,1/2/2015 1:05:17 AM,3/3/2017 1:40:06 PM,9,-10383115.8047,5618632.73520001
0001XX 4 ST S,3363251,MP 2015 000381,01,1/1/2015 4:37:00 AM,1/1/2015 1:45:00 AM,01:45:00,AUTOTH,Motor Vehicle Theft,08,1/1/2015 4:36:30 AM,17605,44.97893095,-93.26775742,-10382519.2634,5618205.2048,DOWNTOWN WEST,1/5/2015 7:51:37 AM,3/3/2017 1:40:06 PM,10,-10382519.2634,5618205.20480001
0007XX Park AV S,3363254,MP 2015 000377,01,1/1/2015 4:47:00 AM,1/1/2015 3:24:00 AM,03:24:00,ASLT2,Asslt W/dngrs Weapon,05,1/1/2015 4:45:08 AM,18846,44.97236806,-93.26312004,-10382003.0328,5617172.4507,ELLIOT PARK,1/1/2015 2:58:18 PM,3/3/2017 1:40:06 PM,11,-10382003.0328,5617172.4507
Knox AV N / Lowry AV N,3363255,MP 2014 457437,04,1/1/2015 4:52:00 AM,12/31/2014 9:45:00 PM,21:45:00,ROBPAG,Robbery Per Agg,04,1/1/2015 4:51:33 AM,,45.0132,-93.30191,-10386321.11,5623600.382,FOLWELL,1/1/2015 4:43:36 PM,3/3/2017 1:40:06 PM,12,-10386321.11,5623600.382
0031XX Harriet AV S,3363278,MP 2015 000423,05,1/1/2015 7:06:00 AM,1/1/2015 4:30:00 AM,04:30:00,BURGD,Burglary Of Dwelling,06,1/1/2015 7:05:13 AM,21894,44.94567022,-93.28557069,-10384502.228,5612972.4259,LYNDALE,1/5/2015 1:50:18 AM,3/3/2017 1:40:06 PM,13,-10384502.228,5612972.42590001
0008XX 28 ST E,3363282,MP 2015 000492,03,1/1/2015 7:24:00 AM,1/1/2015 6:54:00 AM,06:54:00,DASLT2,2nd Deg Domes Aslt,05,1/1/2015 7:23:19 AM,15519,44.95195537,-93.26136643,-10381807.8212,5613961.0113,MIDTOWN PHILLIPS,1/1/2015 2:00:09 PM,3/3/2017 1:40:06 PM,14,-10381807.8212,5613961.0113
0027XX 4 ST SE,3363285,MP 2015 000494,02,1/1/2015 8:19:00 AM,1/1/2015 4:00:00 AM,04:00:00,THEFT,Other Theft,07,1/1/2015 8:17:52 AM,10322,44.97280959,-93.21658156,-10376822.3922,5617241.9278,PROSPECT PARK - EAST RIVER ROAD,1/5/2015 10:24:13 AM,3/3/2017 1:40:06 PM,15,-10376822.3922,5617241.9278
0028XX Park AV S,3363312,MP 2015 000621,03,1/1/2015 11:45:00 AM,1/1/2015 1:00:00 AM,01:00:00,AUTOTH,Motor Vehicle Theft,08,1/1/2015 11:44:49 AM,16417,44.95014794,-93.26520218,-10382234.8151,5613676.7113,PHILLIPS WEST,1/2/2015 6:33:43 AM,3/3/2017 1:40:06 PM,16,-10382234.8151,5613676.7113
0004XX Hennepin AV S,3363313,MP 2015 000637,01,1/1/2015 10:59:00 AM,1/1/2015 1:00:00 AM,01:00:00,THEFT,Other Theft,07,1/1/2015 11:52:48 AM,16700,44.9800647,-93.27188308,-10382978.5303,5618383.6275,DOWNTOWN WEST,1/5/2015 8:23:26 AM,3/3/2017 1:40:06 PM,17,-10382978.5303,5618383.6275
0028XX Park AV S,3363314,MP 2015 000641,03,1/1/2015 11:55:00 AM,1/1/2015 1:00:00 AM,01:00:00,ROBPER,Robbery Of Person,04,1/1/2015 11:55:26 AM,16417,44.95014794,-93.26520218,-10382234.8151,5613676.7113,PHILLIPS WEST,1/1/2016 12:04:57 PM,3/3/2017 1:40:06 PM,18,-10382234.8151,5613676.7113
0009XX Nicollet Mall  ,3363316,MP 2015 000658,01,1/1/2015 12:05:00 PM,1/1/2015 11:28:00 AM,11:28:00,THEFT,Other Theft,07,1/1/2015 12:04:54 PM,19563,44.97449942,-93.27431687,-10383249.4581,5617507.8346,DOWNTOWN WEST,1/1/2015 3:00:32 PM,3/3/2017 1:40:06 PM,19,-10383249.4581,5617507.83460001
0025XX Nicollet AV S,3363320,MP 2015 999998,05,1/1/2015 12:53:10 PM,12/30/2014 11:30:00 AM,11:30:00,THEFT,Other Theft,07,1/1/2015 12:53:10 PM,17961,44.95642818,-93.27786411,-10383644.3348,5614664.6019,WHITTIER,1/1/2015 12:53:25 PM,3/3/2017 1:40:06 PM,20,-10383644.3348,5614664.6019
0050XX Emerson AV N,3363332,MP 2015 000671,04,1/1/2015 1:35:00 PM,1/1/2015 11:54:00 AM,11:54:00,BURGD,Burglary Of Dwelling,06,1/1/2015 1:34:55 PM,17326,45.04660302,-93.29534145,-10385589.9038,5628861.1635,LIND - BOHANON,1/1/2015 2:42:16 PM,3/3/2017 1:40:06 PM,21,-10385589.9038,5628861.16350001
0027XX Oliver AV N,3363337,MP 2015 000725,04,1/1/2015 2:40:00 PM,1/1/2015 1:20:00 PM,13:20:00,DASTR,Domestic Assault/Strangulation,05,1/1/2015 2:05:23 PM,10886,45.00872087,-93.30695554,-10386882.7782,5622894.5128,JORDAN,1/1/2015 3:48:13 PM,3/3/2017 1:40:06 PM,22,-10386882.7782,5622894.51280001
0004XX 1 AV N,3363338,MP 2015 000713,01,1/1/2015 2:12:00 PM,1/1/2015 1:45:00 AM,01:45:00,THEFT,Other Theft,07,1/1/2015 2:10:57 PM,17121,44.98080828,-93.27314066,-10383118.5232,5618500.6487,DOWNTOWN WEST,1/2/2015 7:03:31 AM,3/3/2017 1:40:06 PM,23,-10383118.5232,5618500.6487
0036XX Oakland AV S,3363339,MP 2015 000664,03,1/1/2015 2:22:00 PM,1/1/2015 1:30:00 AM,01:30:00,TFMV,Theft From Motr Vehc,07,1/1/2015 2:22:00 PM,12374,44.9368669,-93.26631734,-10382358.9539,5611587.9416,CENTRAL,1/2/2015 6:34:33 AM,3/3/2017 1:40:06 PM,24,-10382358.9539,5611587.94160001
0052XX Washburn AV N,3363348,MP 2015 000738,04,1/1/2015 4:05:00 PM,12/29/2014 6:30:00 PM,18:30:00,BURGD,Burglary Of Dwelling,06,1/1/2015 3:43:21 PM,17329,45.05033436,-93.31822531,-10388137.3237,5629449.0849,SHINGLE CREEK,1/8/2015 10:44:59 AM,3/3/2017 1:40:06 PM,25,-10388137.3237,5629449.08490001
0020XX Nicollet AV S,3363350,MP 2015 000809,05,1/1/2015 3:25:00 PM,1/1/2015 3:00:00 PM,15:00:00,DASTR,Domestic Assault/Strangulation,05,1/1/2015 4:09:00 PM,18036,44.96180077,-93.2778187,-10383639.2801,5615509.8032,WHITTIER,1/2/2015 8:24:29 AM,3/3/2017 1:40:06 PM,26,-10383639.2801,5615509.80320001
10 AV SE / University AV SE,3363353,MP 2015 999994,02,1/1/2015 4:27:51 PM,12/31/2014 10:00:00 PM,22:00:00,THEFT,Other Theft,07,1/1/2015 4:27:51 PM,,44.98173,-93.24211,-10379664.63,5618645.073,MARCY HOLMES,1/5/2015 9:39:06 AM,3/3/2017 1:40:06 PM,27,-10379664.63,5618645.073
0008XX 28 ST E,3363361,MP 2015 999992,03,1/1/2015 5:18:05 PM,1/1/2015 1:00:00 PM,13:00:00,THEFT,Other Theft,07,1/1/2015 5:18:05 PM,15519,44.95195537,-93.26136643,-10381807.8212,5613961.0113,MIDTOWN PHILLIPS,1/2/2015 6:40:32 AM,3/3/2017 1:40:06 PM,28,-10381807.8212,5613961.0113
0008XX 20 AV SE,3363363,MP 2015 000805,02,1/1/2015 5:33:00 PM,12/31/2014 6:30:00 PM,18:30:00,BURGD,Burglary Of Dwelling,06,1/1/2015 5:31:14 PM,21567,44.98694987,-93.22421009,-10377671.597,5619467.2449,COMO,1/5/2015 9:04:49 AM,3/3/2017 1:40:06 PM,29,-10377671.597,5619467.2449
0034XX Central AV NE,3363380,MP 2015 000907,02,1/1/2015 7:01:00 PM,1/1/2015 5:15:00 PM,17:15:00,ROBPAG,Robbery Per Agg,04,1/1/2015 7:01:27 PM,20458,45.03032205,-93.24724692,-10380236.0451,5626296.3361,WAITE PARK,1/7/2015 11:14:21 AM,3/3/2017 1:40:06 PM,30,-10380236.0451,5626296.33609999
0003XX 1 AV N,3363385,MP 2015 000944,01,1/1/2015 7:25:00 PM,1/1/2015 7:00:00 AM,07:00:00,BURGB,Burglary Of Business,06,1/1/2015 7:24:48 PM,17120,44.98165497,-93.27196341,-10382987.4716,5618633.899,DOWNTOWN WEST,1/2/2015 7:03:48 AM,3/3/2017 1:40:06 PM,31,-10382987.4716,5618633.89900001
0019XX Russell AV N,3363390,MP 2015 000943,04,1/1/2015 8:01:00 PM,1/1/2015 5:59:00 PM,17:59:00,ASLT2,Asslt W/dngrs Weapon,05,1/1/2015 7:59:29 PM,14592,44.99969153,-93.31077401,-10387307.8482,5621472.9237,WILLARD - HAY,5/12/2015 7:10:13 PM,3/3/2017 1:40:06 PM,32,-10387307.8482,5621472.9237
0016XX Dowling AV N,3363392,MP 2015 001013,04,1/1/2015 8:13:00 PM,1/1/2015 7:16:00 PM,19:16:00,ROBPER,Robbery Of Person,04,1/1/2015 8:13:32 PM,10238,45.02402032,-93.30004441,-10386113.4345,5625303.7869,FOLWELL,1/2/2015 8:48:56 AM,3/3/2017 1:40:06 PM,33,-10386113.4345,5625303.7869
0032XX 6 ST N,3363395,MP 2014 000955,04,1/1/2015 9:07:00 PM,1/1/2014 7:30:00 PM,19:30:00,DASLT3,3rd Deg Domes Aslt,05,1/1/2015 9:06:39 PM,11110,45.01399588,-93.28647953,-10384603.3997,5623725.1208,MCKINLEY,1/3/2015 4:51:29 AM,3/3/2017 1:40:06 PM,34,-10384603.3997,5623725.12080001
0008XX Summer ST NE,3363407,MP 2015 001177,02,1/1/2015 11:00:00 PM,1/1/2015 9:03:00 PM,21:03:00,BURGD,Burglary Of Dwelling,06,1/1/2015 10:37:04 PM,16325,44.99690026,-93.24925196,-10380459.2453,5621033.509,ST. ANTHONY EAST,1/5/2015 10:28:19 AM,3/3/2017 1:40:06 PM,35,-10380459.2453,5621033.50900001
0009XX 24 ST E,3363410,MP 2015 001188,03,1/1/2015 11:10:00 PM,1/1/2015 10:00:00 PM,22:00:00,AUTOTH,Motor Vehicle Theft,08,1/1/2015 11:10:14 PM,16434,44.95912104,-93.26055709,-10381717.7267,5615088.2245,VENTURA VILLAGE,1/2/2015 6:38:42 AM,3/3/2017 1:40:06 PM,36,-10381717.7267,5615088.2245
0025XX Lake ST E,3363413,MP 2015 001107,03,1/1/2015 11:25:00 PM,1/1/2015 8:45:00 PM,20:45:00,SHOPLF,Shoplifting,07,1/1/2015 11:22:11 PM,19097,44.94837171,-93.23514707,-10378889.0961,5613397.3273,LONGFELLOW,1/11/2015 9:00:40 AM,3/3/2017 1:40:06 PM,37,-10378889.0961,5613397.3273
Hillside AV  / Irving AV N,3363416,MP 2015 001251,04,1/1/2015 11:49:00 PM,1/1/2015 11:22:00 PM,23:22:00,ASLT4,Aslt-police/emerg P,05,1/1/2015 11:49:31 PM,,45.00027,-93.29882,-10385976.79,5621563.772,JORDAN,1/20/2015 4:12:34 PM,3/3/2017 1:40:06 PM,38,-10385976.79,5621563.772
0020XX Nicollet AV S,3363420,MP 2015 001263,05,1/2/2015 12:10:00 AM,1/1/2015 11:25:00 PM,23:25:00,ROBPER,Robbery Of Person,04,1/2/2015 12:08:01 AM,18036,44.96180077,-93.2778187,-10383639.2801,5615509.8032,WHITTIER,1/5/2015 10:56:19 AM,3/3/2017 1:40:06 PM,39,-10383639.2801,5615509.80320001
0059XX Nicollet AV S,3363445,MP 2015 001398,05,1/2/2015 5:24:00 AM,1/2/2015 2:02:00 AM,02:02:00,SHOPLF,Shoplifting,07,1/2/2015 5:24:11 AM,13304,44.8949328,-93.2781055,-10383671.2063,5604995.9438,WINDOM,1/5/2015 2:12:28 AM,3/3/2017 1:40:06 PM,40,-10383671.2063,5604995.94380001
0058XX Russell AV S,3363447,MP 2015 001210,05,1/2/2015 5:56:00 AM,12/28/2014 8:00:00 AM,08:00:00,BURGD,Burglary Of Dwelling,06,1/2/2015 5:54:46 AM,13555,44.89704488,-93.3112073,-10387356.082,5605327.8463,ARMATAGE,2/17/2015 3:22:10 PM,3/3/2017 1:40:06 PM,41,-10387356.082,5605327.8463
0011XX Broadway AV W,3363449,MP 2015 001477,04,1/2/2015 7:27:00 AM,1/2/2015 2:53:00 AM,02:53:00,BURGB,Burglary Of Business,06,1/2/2015 6:57:33 AM,15076,44.99915806,-93.29487623,-10385538.1151,5621388.9417,NEAR - NORTH,1/9/2015 12:56:11 PM,3/3/2017 1:40:06 PM,42,-10385538.1151,5621388.9417
0028XX 15 AV S,3363452,MP 2015 000142,03,1/1/2015 2:18:00 AM,1/1/2015 12:33:00 AM,00:33:00,ARSON,Arson,10,1/2/2015 7:36:14 AM,19486,44.95100797,-93.25375156,-10380960.1384,5613811.9886,MIDTOWN PHILLIPS,1/6/2015 10:25:36 AM,3/3/2017 1:40:06 PM,43,-10380960.1384,5613811.9886
00002X Oliver AV S,3363458,MP 2015 999988,04,1/2/2015 8:36:47 AM,12/12/2014 12:00:00 AM,00:00:00,TFMV,Theft From Motr Vehc,07,1/2/2015 8:36:47 AM,17698,44.97608034,-93.30706477,-10386894.938,5617756.6116,BRYN - MAWR,1/3/2015 8:02:25 AM,3/3/2017 1:40:06 PM,44,-10386894.938,5617756.6116
00002X Oliver AV S,3363459,MP 2015 999987,04,1/2/2015 8:53:44 AM,12/4/2014 12:00:00 AM,00:00:00,TFMV,Theft From Motr Vehc,07,1/2/2015 8:53:44 AM,17698,44.97608034,-93.30706477,-10386894.938,5617756.6116,BRYN - MAWR,1/3/2015 8:02:14 AM,3/3/2017 1:40:06 PM,45,-10386894.938,5617756.6116
00002X Oliver AV S,3363462,MP 2015 999986,04,1/2/2015 9:04:06 AM,7/10/2014 12:00:00 AM,00:00:00,TFMV,Theft From Motr Vehc,07,1/2/2015 9:04:06 AM,17698,44.97608034,-93.30706477,-10386894.938,5617756.6116,BRYN - MAWR,1/3/2015 8:01:50 AM,3/3/2017 1:40:06 PM,46,-10386894.938,5617756.6116
0031XX 23 AV S,3363470,MP 2015 001554,01,1/2/2015 9:40:00 AM,12/24/2014 9:00:00 AM,09:00:00,THEFT,Other Theft,07,1/2/2015 9:41:53 AM,20781,44.94565104,-93.23893067,-10379310.2843,5612969.4083,CORCORAN,1/5/2015 8:07:19 AM,3/3/2017 1:40:06 PM,47,-10379310.2843,5612969.40829999
0005XX 1 AV N,3363475,MP 2015 999985,01,1/2/2015 10:05:00 AM,12/31/2014 11:00:00 PM,23:00:00,THEFT,Other Theft,07,1/2/2015 10:05:04 AM,17104,44.97998625,-93.27428374,-10383245.7696,5618371.2806,DOWNTOWN WEST,1/5/2015 8:14:45 AM,3/3/2017 1:40:06 PM,48,-10383245.7696,5618371.28059999
00001X 26 ST W,3363480,MP 2015 001530,05,1/2/2015 9:15:00 AM,1/2/2015 1:00:00 AM,01:00:00,BURGB,Burglary Of Business,06,1/2/2015 10:15:38 AM,16787,44.95553566,-93.2787551,-10383743.5201,5614524.2,WHITTIER,1/2/2015 1:33:12 PM,3/3/2017 1:40:06 PM,49,-10383743.5201,5614524.2
0027XX Grand ST NE,3363495,MP 2015 001675,02,1/2/2015 11:44:00 AM,12/29/2014 11:00:00 AM,11:00:00,THEFT,Other Theft,07,1/2/2015 11:43:45 AM,11077,45.01770235,-93.27013462,-10382783.8921,5624308.7889,MARSHALL TERRACE,1/7/2015 10:11:10 AM,3/3/2017 1:40:06 PM,50,-10382783.8921,5624308.7889
0006XX Broadway AV W,3363498,MP 2015 001616,04,1/2/2015 10:09:00 AM,1/1/2015 11:35:00 PM,23:35:00,BURGB,Burglary Of Business,06,1/2/2015 11:56:37 AM,22647,44.99913516,-93.28682309,-10384641.6445,5621385.3364,NEAR - NORTH,1/5/2015 7:09:50 AM,3/3/2017 1:40:06 PM,51,-10384641.6445,5621385.33640001
0012XX 26 ST W,3363506,MP 2015 001704,05,1/2/2015 12:10:00 PM,1/2/2015 11:35:00 AM,11:35:00,ASLT2,Asslt W/dngrs Weapon,05,1/2/2015 12:09:24 PM,14826,44.95554228,-93.29505008,-10385557.4683,5614525.2413,LOWRY HILL EAST,1/3/2015 6:47:28 AM,3/3/2017 1:40:06 PM,52,-10385557.4683,5614525.24130001
0034XX Girard AV N,3363507,MP 2015 001720,04,1/2/2015 12:17:00 PM,4/1/2013 12:12:00 PM,12:12:00,THEFT,Other Theft,07,1/2/2015 12:16:37 PM,19934,45.01766506,-93.29685009,-10385757.8446,5624302.9178,FOLWELL,1/6/2015 1:30:15 PM,3/3/2017 1:40:06 PM,53,-10385757.8446,5624302.91780001
